service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4503599630773892,1,1,1,1,1,0,0,20140901,20151231
4503599630810394,0,0,0,0,0,1,0,20140906,20151226
4503599631507892,1,1,1,1,1,0,0,20140512,20150703
4503599631507895,0,0,0,0,0,1,0,20140517,20150704
4503599631512310,1,1,1,1,1,0,0,20140101,20150828
4503599631531208,1,1,1,1,1,1,0,20140901,20151231
4503603922673401,1,1,1,1,1,0,0,20140101,20151231
4503603923740912,1,1,1,1,1,0,0,20140901,20150703
4503603925963979,0,0,0,0,0,1,0,20140104,20151226
4503603927925062,1,1,1,1,1,0,0,20141103,20150828
4503603927945615,0,1,0,0,1,1,0,20131029,20150828
4503603928094285,1,1,1,1,1,0,0,20141013,20150206
4503603928103735,1,1,1,1,1,0,0,20140901,20150828
4503603928103745,1,1,1,1,1,0,0,20140901,20150327
4503603928123137,1,1,1,1,1,0,0,20140901,20150619
4503603928123673,1,1,1,1,1,0,0,20140901,20150623
4503603928133099,0,0,0,0,0,1,0,20140906,20150620
4503603928139242,0,0,0,0,0,0,1,20140907,20150621
4503603928160807,0,0,0,0,0,1,0,20140913,20150620
4503603928160845,0,0,0,0,0,0,1,20140914,20150621
4503603928160992,1,1,1,1,1,0,0,20140912,20150623
4503603928161166,0,0,0,0,0,0,1,20140914,20150621
4503603928162752,1,1,1,1,1,0,0,20140912,20150619
4503603928167647,1,1,0,1,1,0,0,20140912,20150623
4503603928183774,0,0,0,0,0,1,0,20141011,20150620
4503603928183892,0,0,0,0,0,1,0,20141025,20150620
4503603928184751,0,0,0,0,0,1,1,20141025,20150620
4503603928185194,0,0,0,0,0,1,1,20141026,20150621
4503603928186181,0,0,0,0,0,1,1,20141026,20150614
4503603928190451,1,1,1,1,1,0,0,20141103,20150619
4503603928192089,1,1,1,1,1,0,0,20141103,20150623
4503603928193465,1,1,1,1,1,0,0,20141020,20150828
4503603928196702,0,0,0,0,0,1,0,20141108,20150620
4503603928201167,1,0,1,1,1,0,0,20141110,20151231
4503603928201185,0,0,0,0,0,1,0,20141115,20151226
4503603928201632,1,0,1,1,1,0,0,20141110,20150623
4503603928201634,1,0,0,1,1,0,0,20141110,20150623
4503603928202491,1,1,1,1,1,0,0,20141117,20150623
4503603928206431,0,0,0,0,0,1,0,20141122,20150620
4503603928208072,0,0,0,0,0,0,1,20141123,20150621
4503603928217510,1,1,1,1,1,0,0,20141215,20150619
4503603928219764,0,0,0,0,0,1,0,20141220,20150620
4503603928220865,0,0,0,1,0,0,1,20141221,20150621
4503603928224620,1,1,1,0,1,0,0,20141222,20150623
4503603928229282,0,0,0,1,0,0,1,20141225,20150621
4503603928230241,0,0,0,0,0,1,0,20141227,20150620
4503603928230802,0,0,0,0,0,0,1,20141228,20150621
4503603928235269,1,1,1,1,1,0,0,20150105,20150623
4503603928235343,1,1,1,1,1,0,0,20150105,20150619
4503603928235632,1,1,1,1,1,0,0,20150105,20150623
4503603928235642,1,1,1,1,1,0,0,20150105,20150617
4503603928237890,1,1,1,1,1,0,1,20150105,20150623
4503603928237949,1,1,1,1,1,1,0,20150105,20150623
4503603928237975,1,1,1,1,1,0,0,20150105,20150623
4503603928240268,0,0,0,0,1,1,0,20150109,20150620
4503603928241381,0,0,0,0,0,1,0,20150110,20150620
4503603928241839,0,0,0,0,0,1,1,20150110,20150620
4503603928241868,0,0,0,0,0,1,0,20150110,20150620
4503603928241896,0,0,0,0,0,1,0,20150110,20150620
4503603928241940,0,0,0,0,0,0,1,20150111,20150621
4503603928242731,0,0,0,0,0,0,1,20150111,20150614
4503603928246087,1,1,1,1,1,0,0,20150119,20150623
4503603928251014,0,0,0,0,0,1,0,20150124,20150620
4503603928251391,0,0,0,0,0,0,1,20150125,20150621
4503603928254242,1,1,1,1,1,0,0,20150209,20151231
4503603928254244,1,1,1,1,1,0,0,20150209,20151231
4503603928254249,1,1,1,1,1,0,0,20150223,20151218
4503603928258975,1,1,1,1,1,1,0,20150209,20150623
4503603928258980,1,1,1,1,1,0,0,20150209,20150623
4503603928264592,0,0,0,0,0,1,0,20150214,20150620
4503603928264871,0,0,0,0,0,0,1,20150215,20150621
4503603928265348,0,0,0,0,0,0,1,20150215,20150614
4503603928270354,1,1,1,1,0,0,0,20150105,20151217
4503603928276835,1,1,1,1,1,0,0,20150223,20150619
4503603928278206,1,1,1,1,1,0,0,20150223,20150623
4503603928278253,1,1,0,1,1,0,0,20150223,20150623
4503603928278521,1,1,1,1,1,0,0,20150223,20150623
4503603928280824,1,1,1,1,1,0,0,20150223,20150612
4503603928280880,1,1,0,1,1,0,0,20150223,20150612
4503603928281736,1,1,0,1,1,0,0,20150223,20150619
4503603928281838,0,0,0,0,0,1,0,20150103,20151226
4503603928281864,0,0,0,0,0,1,1,20150104,20151227
4503603928281929,0,0,0,1,0,0,0,20150101,20151225
4503603928282095,0,0,0,0,0,1,0,20150718,20150822
4503603928282367,0,0,0,0,1,0,0,20150515,20151220
4503603928282700,0,0,0,0,0,0,1,20150104,20151227
4503603928282949,1,0,0,0,0,0,0,20150713,20151206
4503603928283240,0,0,1,1,0,0,0,20150715,20151230
4503603928283668,0,0,0,0,0,1,0,20150103,20151226
4503603928284048,0,0,0,0,1,0,0,20150102,20151231
4503603928284457,0,0,0,0,1,0,0,20150109,20151218
4503603928297074,0,0,0,0,0,1,0,20150228,20150620
4503603928298098,0,0,0,0,1,0,0,20150109,20151218
4503603928299046,0,0,0,0,0,1,0,20150103,20151220
4503603928299703,0,0,0,0,0,0,1,20150104,20151227
4503603928301438,0,0,0,0,1,0,0,20150424,20151231
4503603928302148,1,0,0,0,0,0,0,20150713,20151025
4503603928302642,0,0,0,0,1,0,0,20150102,20150821
4503603928303144,0,0,0,0,0,1,0,20150725,20151226
4503603928303582,0,0,0,1,0,0,0,20150101,20151225
4503603928303936,0,0,0,0,0,1,1,20150104,20151220
4503603928304016,0,0,0,0,0,1,0,20150103,20151227
4503603928309005,1,1,1,1,1,0,0,20150309,20150623
4503603928309074,1,1,0,1,1,0,0,20150309,20150623
4503603928318585,0,0,0,0,0,1,0,20150314,20150620
4503603928319620,0,0,0,0,0,0,1,20150315,20150621
4503603928328756,1,1,1,1,1,0,0,20150330,20150612
4503603928330773,0,1,1,1,1,0,0,20150407,20150623
4503603928332309,0,0,0,0,0,1,0,20150411,20150620
4503603928333049,0,0,0,0,0,1,0,20150411,20150623
4503603928333303,0,0,0,0,0,0,1,20150412,20150614
4503603928334002,0,0,0,0,0,0,1,20150412,20150621
4503603928334696,1,1,1,1,1,0,0,20150413,20150623
4503603928340994,1,1,1,1,1,0,0,20150330,20150828
4503603928346634,0,0,0,0,0,1,0,20150418,20150620
4503603928349321,0,0,0,0,0,0,1,20150419,20150621
4503603928357640,1,1,1,1,0,0,0,20150427,20150623
4503603928357788,1,1,0,1,0,0,0,20150427,20150623
4503603928358870,1,1,1,1,0,0,0,20150427,20150619
4503603928359210,1,1,1,1,0,0,0,20150427,20150612
4503603928360680,0,0,1,0,0,0,0,20150429,20150617
4503603928361576,0,0,1,0,0,0,0,20150429,20150610
4503603928364605,0,0,0,0,0,1,0,20150502,20150620
4503603928365483,1,1,1,1,0,0,0,20150504,20150623
4503603928366935,0,0,0,1,1,0,1,20150508,20150621
4503603928367998,0,0,0,0,0,1,0,20150509,20150620
4503603928373297,0,0,0,0,1,0,0,20150515,20150619
4503603928386361,0,0,0,0,0,0,1,20150531,20150621
4503603928386388,1,1,1,1,1,0,0,20150615,20150623
4503603928386766,1,1,0,1,1,0,0,20150615,20150623
4503603928387906,0,0,1,0,0,0,0,20150617,20150617
4503603928388877,0,0,0,0,0,0,1,20150621,20150621
4503603928389752,1,1,0,0,0,0,0,20150622,20150623
4503603928391969,1,1,1,1,1,0,0,20150603,20150623
4503603928392019,0,0,0,0,0,1,0,20150606,20150620
4503603928392069,0,0,0,0,0,0,1,20150607,20150621
