stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720880573,2211,Ecole Croix-Rouge,43.6052,1.38701,0,1970324837184593,2
3377699720880577,4530,Matabiau Gare SNCF,43.611,1.45316,0,1970324840530381,1
3377699720880578,4531,Matabiau Gare SNCF,43.6112,1.45259,0,1970324840530381,1
3377699720880579,40130,Marengo-SNCF,43.61,1.45565,0,1970324837184594,1
3377699720880580,40131,Marengo-SNCF,43.6102,1.45548,0,1970324837184594,1
3377699720880581,4481,Marengo-SNCF,43.6108,1.45541,0,1970324837184594,1
3377699720880582,4483,Marengo-SNCF,43.6108,1.45539,0,1970324837184594,2
3377699720880593,1870,Capelles,43.6016,1.3849,0,1970324837184596,2
3377699720880594,1871,Capelles,43.6013,1.38474,0,1970324837184596,2
3377699720880595,2240,Ecole Vétérinaire,43.5993,1.38396,0,1970324837184597,1
3377699720880596,2241,Ecole Vétérinaire,43.5988,1.38375,0,1970324837184597,2
3377699720880597,10020,ZI Prat Gimont,43.6269,1.48585,0,1970324837184598,2
3377699720880598,10021,ZI Prat Gimont,43.6269,1.48635,0,1970324837184598,2
3377699720880634,36041,Aéroport,43.6309,1.3745,0,1970324837184612,1
3377699720880648,3060,Saint Agne-SNCF,43.5807,1.44921,0,1970324837184617,1
3377699720880649,3061,Saint Agne-SNCF,43.5801,1.44951,0,1970324837184617,1
3377699720880657,19710,Clinique des Cèdres,43.6594,1.3114,0,1970324837184625,1
3377699720880658,19701,Les Ambrits,43.6532,1.31897,0,1970324837184626,2
3377699720880659,19680,Mairie Cornebarrieu,43.6492,1.32635,0,1970324837184627,2
3377699720880668,1311,Chaussas,43.6284,1.42847,0,1970324837184635,1
3377699720880669,5560,Pont des Minimes,43.6154,1.4374,0,1970324837184636,1
3377699720880670,5561,Pont des Minimes,43.6152,1.43812,0,1970324837184636,1
3377699720880671,5563,Pont des Minimes,43.616,1.43788,0,1970324837184636,1
3377699720880672,5565,Pont des Minimes,43.6157,1.43679,0,1970324837184636,1
3377699720880674,6062,Riquet,43.609,1.45487,0,1970324837184637,2
3377699720880676,6060,Riquet,43.609,1.45371,0,1970324837184637,1
3377699720880677,6065,Riquet,43.6096,1.45366,0,1970324837184637,1
3377699720880678,6061,Riquet,43.609,1.45334,0,1970324837184637,1
3377699720880679,1681,Corraze,43.5814,1.48533,0,1970324837184638,1
3377699720880680,1680,Corraze,43.5813,1.48544,0,1970324837184638,1
3377699720880710,100,Ancely,43.6185,1.39738,0,1970324837184663,1
