#times count %
1 2243 0.408338
2 841 0.153104
3 488 0.0888403
4 313 0.0569816
5 219 0.0398689
6 158 0.0287639
7 116 0.0211178
8 122 0.0222101
9 62 0.0112871
10 67 0.0121973
11 67 0.0121973
12 44 0.00801019
13 38 0.0069179
14 34 0.0061897
15 33 0.00600765
16 37 0.00673585
17 33 0.00600765
18 21 0.00382305
19 24 0.0043692
20 24 0.0043692
21 15 0.00273075
22 23 0.00418715
23 23 0.00418715
24 18 0.0032769
25 14 0.0025487
26 15 0.00273075
27 12 0.0021846
28 17 0.00309485
29 12 0.0021846
30 9 0.00163845
31 11 0.00200255
32 11 0.00200255
33 6 0.0010923
34 12 0.0021846
35 10 0.0018205
36 9 0.00163845
37 7 0.00127435
38 2 0.0003641
39 6 0.0010923
40 8 0.0014564
41 6 0.0010923
42 6 0.0010923
43 3 0.00054615
44 5 0.000910249
45 4 0.0007282
46 3 0.00054615
47 2 0.0003641
48 6 0.0010923
49 1 0.00018205
50 3 0.00054615
51 7 0.00127435
52 4 0.0007282
53 5 0.000910249
54 4 0.0007282
55 5 0.000910249
56 4 0.0007282
57 4 0.0007282
58 4 0.0007282
59 5 0.000910249
60 4 0.0007282
61 4 0.0007282
62 1 0.00018205
63 1 0.00018205
64 3 0.00054615
65 4 0.0007282
66 1 0.00018205
67 3 0.00054615
68 1 0.00018205
69 4 0.0007282
71 5 0.000910249
72 1 0.00018205
73 1 0.00018205
74 2 0.0003641
75 2 0.0003641
76 1 0.00018205
77 3 0.00054615
78 2 0.0003641
79 2 0.0003641
80 2 0.0003641
82 1 0.00018205
83 1 0.00018205
84 4 0.0007282
86 1 0.00018205
87 1 0.00018205
89 1 0.00018205
90 1 0.00018205
91 2 0.0003641
93 2 0.0003641
97 1 0.00018205
98 2 0.0003641
99 1 0.00018205
100 2 0.0003641
104 1 0.00018205
106 1 0.00018205
108 2 0.0003641
109 1 0.00018205
110 2 0.0003641
112 1 0.00018205
114 2 0.0003641
116 1 0.00018205
118 1 0.00018205
119 1 0.00018205
120 1 0.00018205
123 1 0.00018205
126 1 0.00018205
129 1 0.00018205
131 1 0.00018205
134 1 0.00018205
137 1 0.00018205
141 1 0.00018205
142 1 0.00018205
145 1 0.00018205
147 1 0.00018205
148 1 0.00018205
149 1 0.00018205
150 3 0.00054615
151 2 0.0003641
153 1 0.00018205
157 1 0.00018205
158 1 0.00018205
160 1 0.00018205
161 1 0.00018205
171 1 0.00018205
173 1 0.00018205
177 1 0.00018205
180 1 0.00018205
181 1 0.00018205
184 1 0.00018205
187 1 0.00018205
188 1 0.00018205
189 1 0.00018205
191 3 0.00054615
192 1 0.00018205
202 1 0.00018205
205 1 0.00018205
212 1 0.00018205
224 1 0.00018205
228 1 0.00018205
230 1 0.00018205
233 2 0.0003641
239 1 0.00018205
242 2 0.0003641
248 2 0.0003641
250 1 0.00018205
260 1 0.00018205
262 1 0.00018205
263 1 0.00018205
264 1 0.00018205
272 1 0.00018205
281 1 0.00018205
283 1 0.00018205
284 1 0.00018205
286 1 0.00018205
298 1 0.00018205
304 1 0.00018205
329 1 0.00018205
333 1 0.00018205
350 1 0.00018205
351 2 0.0003641
361 1 0.00018205
377 1 0.00018205
385 1 0.00018205
416 1 0.00018205
424 1 0.00018205
439 1 0.00018205
447 1 0.00018205
450 1 0.00018205
463 1 0.00018205
466 1 0.00018205
467 1 0.00018205
469 1 0.00018205
481 1 0.00018205
511 1 0.00018205
545 1 0.00018205
558 1 0.00018205
566 1 0.00018205
598 1 0.00018205
689 1 0.00018205
736 1 0.00018205
757 1 0.00018205
879 1 0.00018205
895 1 0.00018205
902 1 0.00018205
933 1 0.00018205
968 1 0.00018205
1032 1 0.00018205
1050 1 0.00018205
1058 1 0.00018205
1096 1 0.00018205
1204 1 0.00018205
1257 1 0.00018205
1293 1 0.00018205
1634 1 0.00018205
1650 1 0.00018205
1672 1 0.00018205
1673 1 0.00018205
1746 1 0.00018205
2992 1 0.00018205
3289 1 0.00018205
3655 1 0.00018205
3767 1 0.00018205
